CountryLive,Latitude,Longitude,MaxAge,MinAge,AttendedBootcampCount
Australia,-24.578,133.582,26,17,2
Argentina,-33.166,-64.31,36,14,1
Belgium,50.6745,4.4588,39,17,2
Brazil,-11.694,-48.978,49,18,2
Canada,59.2067,-111.1937,50,15,46
Chile,-23.176,-69.201,44,12,1
China,35.1753,99.3877,25,25,4
Colombia,3.794,-73.606,50,14,2
France,46.656,2.543,28,18,3
Germany,51.3819,9.9877,43,3,2
Hungary,47.174,19.618,37,25,2
India,22.741,78.236,66,17,2
Indonesia,-0.739,114.045,32,15,6
Ireland,53.214,-7.588,37,18,3
Isle of Man,54.234,-4.522,44,14,4
Israel,30.992,34.834,28,24,3
Kazakhstan,48.866,69.772,26,26,3
Kenya,0.806,38.166,43,16,5
Korea South,36.338,128.16,37,21,1
Lithuania,55.342,24.23,34,17,2
Luxembourg,49.671,6.113,46,15,1
Macedonia,41.636,21.676,37,18,2
Malaysia,4.416,102.099,27,27,3
Mexico,22.925,-101.68,56,12,6
Morocco,31.129,-7.355,42,15,1
Mozambique,-13.852,38.042,41,16,1
Netherland Antilles,12.165,-68.937,32,32,7
New Zealand,-42.558,172.377,53,11,2
Nicaragua,12.692,-85.03,19,19,1
Nigeria,9.3417,7.678,57,12,3
Norway,61.3701,9.3031,44,14,1
Pakistan,28.1854,66.6429,28,24,3
Panama,8.348,-81.005,56,14,1
Philippines,17.181,121.256,46,23,5
Poland,52.442,19.72,59,16,3
Portugal,40.957,-7.9373,37,17,2
Republic of Serbia,44.021,20.699,46,14,1
Romania,45.933,25.119,45,22,4
Russia,64.736,104.062,30,30,3
Saudi Arabia,24.191,44.32,33,16,1
South Africa,-31.7,23.441,70,0,2
Spain,40.617,-3.388,28,21,21
Ukraine,49.364,32.132,22,22,5
United Kingdom,52.289,-1.259,28,13,16
United States of America,40.0792,-98.8164,34,18,368
Venezuela,6.983,-64.588,30,29,1
Vietnam,21.75,105.373,62,18,2